
0.000000000000e+000	0.000000000000e+000
2.000000000000e-007	6.270644019088e-008
2.168224000005e-007	6.842436698344e-008
2.504672000014e-007	8.074719674804e-008
3.177568000033e-007	1.107129234281e-007
4.523360000070e-007	1.919067581679e-007
7.214944000145e-007	4.392010717339e-007
1.259811200029e-006	1.272276675630e-006
2.336444800059e-006	4.283313909599e-006
4.489712000119e-006	1.561330614347e-005
8.796246400238e-006	5.894553900483e-005
1.740931520048e-005	2.240314883555e-004
3.463545280095e-005	8.367949514628e-004
5.463545280095e-005	1.959435484885e-003
7.463545280095e-005	3.449157342747e-003
9.463545280095e-005	5.239217737233e-003
1.146354528010e-004	7.275008707372e-003
1.346354528010e-004	9.511850786876e-003
1.546354528010e-004	1.191318782329e-002
1.746354528010e-004	1.444911001185e-002
1.946354528010e-004	1.709514546861e-002
2.146354528010e-004	1.983127151757e-002
2.346354528010e-004	2.264110574381e-002
2.546354528010e-004	2.551124412777e-002
2.746354528010e-004	2.843071951891e-002
2.946354528010e-004	3.139055856854e-002
3.146354528010e-004	3.438341922042e-002
3.346354528010e-004	3.740329411216e-002
3.546354528010e-004	4.044526790357e-002
3.746354528010e-004	4.350531872721e-002
3.946354528010e-004	4.658015573875e-002
4.146354528010e-004	4.966708620373e-002
4.346354528010e-004	5.276390675029e-002
4.546354528010e-004	5.586881439414e-002
4.746354528010e-004	5.898033374087e-002
4.946354528010e-004	6.209725742407e-002
5.146354528010e-004	6.521859737308e-002
5.346354528010e-004	6.834354494092e-002
5.546354528010e-004	7.147143828192e-002
5.746354528010e-004	7.460173566047e-002
5.946354528010e-004	7.773399361290e-002
6.146354528010e-004	8.086784907984e-002
6.346354528010e-004	8.400300478724e-002
6.546354528010e-004	8.713921728542e-002
6.746354528010e-004	9.027628716284e-002
6.946354528010e-004	9.341405103913e-002
7.146354528010e-004	9.655237501401e-002
7.346354528010e-004	9.969114930725e-002
7.546354528010e-004	1.028302838732e-001
7.746354528010e-004	1.059697048128e-001
7.946354528010e-004	1.091093514375e-001
8.146354528010e-004	1.122491738680e-001
8.346354528010e-004	1.153891310681e-001
8.546354528010e-004	1.185291892376e-001
8.746354528010e-004	1.216693204963e-001
8.946354528010e-004	1.248095018076e-001
9.146354528010e-004	1.279497140981e-001
9.346354528010e-004	1.310899415368e-001
9.546354528010e-004	1.342301709457e-001
9.746354528010e-004	1.373703913173e-001
9.946354528010e-004	1.405105934202e-001
1.000000000000e-003	1.413528775429e-001


