50.000000	1.000000	2.933800
65.610227	1.000000	4.534000
86.094039	1.000000	3.214300
112.972989	0.980769	5.298700
148.243670	0.980392	10.227300
194.526017	0.980392	10.754300
255.257925	0.980392	14.090000
334.950609	0.941176	14.594600
439.523712	0.960000	19.915500
576.745014	0.882353	25.287600
756.807429	0.860000	31.872300
993.086150	0.760000	41.221400
1303.132161	0.656000	49.369400
1709.975947	0.544000	54.330700
2243.838212	0.448000	62.899100
2944.374704	0.344000	67.525400
3863.621874	0.272000	73.442100
5069.862190	0.216000	75.275900
6652.696217	0.168000	78.951400
8729.698224	0.134000	82.500000
11455.149701	0.106000	81.890100
15031.499521	0.082000	82.970100
19724.402016	0.062041	86.363600
25882.450008	0.047200	88.062900
33963.068581	0.036800	88.235300
44566.493013	0.028571	90.192700
58480.354764	0.022041	93.358200
76738.187417	0.016531	95.086000
100696.198437	0.012600	100.418000
132134.009429	0.009600	102.938700
173386.847952	0.007020	105.875000
227519.010228	0.005143	111.763600
298551.479692	0.003673	114.114800
391760.609089	0.002571	117.719400
514070.052481	0.001755	110.626900
674565.060210	0.001163	112.196800
885167.339082	0.000816	-93.670200
1161520.606972	0.001224	-100.557500
1524152.621605	0.000816	169.298800
2000000.000000	0.000816	-163.800000
