---- Page: "Transient"
---- Graph: "Transient"
---- Left Axis: LINEAR "Voltage (V)"
---- Bottom Axis: LINEAR "Time (s)"
---- Trace: 1 LEFT BOTTOM "V(2)"
0.000000000000e+000	0.000000000000e+000
1.000000000000e-011	6.666666222222e-010
2.000000000000e-011	1.999999822222e-009
4.000000000000e-011	5.999999288889e-009
8.000000000000e-011	2.199999555556e-008
1.600000000000e-010	8.599996675557e-008
3.200000000000e-010	3.419997384891e-007
6.400000000000e-010	1.365997916625e-006
1.000000000000e-009	3.333992276637e-006
1.064000000000e-009	3.760657338756e-006
1.192000000000e-009	4.613987098908e-006
1.448000000000e-009	6.320644434689e-006
1.960000000000e-009	9.733950368180e-006
2.984000000000e-009	1.656052728303e-005
5.032000000000e-009	3.021354130539e-005
9.128000000000e-009	5.751901013028e-005
1.732000000000e-008	1.121277109771e-004
3.370400000000e-008	2.213361660699e-004
6.647200000000e-008	4.397172947371e-004
1.320080000000e-007	8.763364650727e-004
2.630800000000e-007	1.749002770190e-003
5.252240000000e-007	3.492049735290e-003
1.049512000000e-006	6.969021022378e-003
2.098088000000e-006	1.388663189854e-002
4.195240000000e-006	2.757778792821e-002
8.389544000000e-006	5.439376916055e-002
1.677815200000e-005	1.058374333303e-001
3.355536800000e-005	2.005510538722e-001
6.710980000000e-005	3.613946986431e-001
1.271098000000e-004	5.742631321948e-001
1.871098000000e-004	7.161754211406e-001
2.471098000000e-004	8.107836137120e-001
3.071098000000e-004	8.738557420535e-001
3.671098000000e-004	9.159038275882e-001
4.271098000000e-004	9.439358845939e-001
4.871098000000e-004	9.626239225859e-001
5.000010000000e-004	9.657037309699e-001
5.000011000000e-004	9.657036871674e-001
5.000013000000e-004	9.657034662293e-001
5.000017000000e-004	9.657022243551e-001
5.000020000000e-004	9.657005929523e-001
5.000020800000e-004	9.657000779122e-001
5.000022400000e-004	9.656990478327e-001
5.000025600000e-004	9.656969876769e-001
5.000032000000e-004	9.656928673786e-001
5.000044800000e-004	9.656846268346e-001
5.000070400000e-004	9.656681459575e-001
5.000121600000e-004	9.656351850473e-001
5.000224000000e-004	9.655692666019e-001
5.000428800000e-004	9.654374432103e-001
5.000838400000e-004	9.651738504147e-001
5.001657600000e-004	9.646468806995e-001
5.003296000000e-004	9.635938041852e-001
5.006572800000e-004	9.614910981128e-001
5.013126400000e-004	9.572994362245e-001
5.026233600000e-004	9.489708144022e-001
5.052448000001e-004	9.325300093129e-001
5.104876800002e-004	9.004955655118e-001
5.209734400003e-004	8.396722904293e-001
5.419449600007e-004	7.299478871107e-001
5.838880000013e-004	5.508757617198e-001
6.000000000000e-004	4.947202833781e-001
6.000001000000e-004	4.947200202314e-001
6.000003000000e-004	4.947196272717e-001
6.000007000000e-004	4.947196413526e-001
6.000010000000e-004	4.947203519126e-001
6.000010800000e-004	4.947206213950e-001
6.000012400000e-004	4.947211603593e-001
6.000015600000e-004	4.947222382864e-001
6.000022000000e-004	4.947243941336e-001
6.000034800000e-004	4.947287058003e-001
6.000060400000e-004	4.947373290235e-001
6.000111600000e-004	4.947545750283e-001
6.000214000000e-004	4.947890652720e-001
6.000418800000e-004	4.948580386963e-001
6.000828400000e-004	4.949959572971e-001
6.001647600000e-004	4.952716815468e-001
6.003286000000e-004	4.958226785462e-001
6.006562800000e-004	4.969228690078e-001
6.013116400000e-004	4.991160554395e-001
6.026223600000e-004	5.034738068188e-001
6.052438000001e-004	5.120760633005e-001
6.104866800002e-004	5.288373167993e-001
6.209724400003e-004	5.606616349807e-001
6.419439600007e-004	6.180722942838e-001
6.838870000013e-004	7.117674839642e-001
7.438870000013e-004	8.078449889296e-001
8.038870000013e-004	8.718966588665e-001
8.638870000013e-004	9.145977721310e-001
9.238870000013e-004	9.430651809563e-001
9.838870000013e-004	9.620434534946e-001
1.043887000001e-003	9.746956351789e-001
1.100001000000e-003	9.826702109898e-001
1.100001100000e-003	9.826701558764e-001
1.100001300000e-003	9.826699123163e-001
1.100001700000e-003	9.826686251983e-001
1.100002000000e-003	9.826669598627e-001
1.100002080000e-003	9.826664357739e-001
1.100002240000e-003	9.826653875969e-001
1.100002560000e-003	9.826632912463e-001
1.100003200000e-003	9.826590985586e-001
1.100004480000e-003	9.826507132367e-001
1.100007040000e-003	9.826339428076e-001
1.100012160000e-003	9.826004028080e-001
1.100022400000e-003	9.825333262433e-001
1.100042880000e-003	9.823991868502e-001
1.100083840000e-003	9.821309630000e-001
1.100165760000e-003	9.815947349685e-001
1.100329600000e-003	9.805231569820e-001
1.100657280000e-003	9.783835085247e-001
1.101312640000e-003	9.741182034446e-001
1.102623360000e-003	9.656432562958e-001
1.105244800001e-003	9.489136031565e-001
1.110487680001e-003	9.163163470982e-001
1.120973440003e-003	8.544244695781e-001
1.141944960005e-003	7.427723212539e-001
1.183888000010e-003	5.605540826511e-001
1.200000000000e-003	5.034120103034e-001
1.200000100000e-003	5.034117413623e-001
1.200000300000e-003	5.034113368135e-001
1.200000700000e-003	5.034113277166e-001
1.200001000000e-003	5.034120208933e-001
1.200001080000e-003	5.034122857401e-001
1.200001240000e-003	5.034128154334e-001
1.200001560000e-003	5.034138748182e-001
1.200002200000e-003	5.034159935812e-001
1.200003480000e-003	5.034202310799e-001
1.200006040000e-003	5.034287059690e-001
1.200011160000e-003	5.034456553132e-001
1.200021400000e-003	5.034795522661e-001
1.200041880000e-003	5.035473392302e-001
1.200082840000e-003	5.036828853966e-001
1.200164760000e-003	5.039538667204e-001
1.200328600000e-003	5.044953856345e-001
1.200656280000e-003	5.055766509496e-001
